"Peringkat","Judul","Deskripsi","Runtime","Genre","Rating"
"76.","The First Purge","America's third political party, the New Founding Fathers of America, comes to power and conducts an experiment: no laws for 12 hours on Staten Island. No one has to stay on the island, but $5,000 is given to anyone who does.",98,"Action, Horror, Sci-Fi            ",5.1
"77.","The Professor","A college professor lives his life with reckless abandon after being diagnosed with a terminal illness.",90,"Comedy, Drama            ",6.7
"78.","The Predator","When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",107,"Action, Adventure, Sci-Fi            ",5.4
"79.","Tag","A small group of former classmates organize an elaborate, annual game of tag that requires some to travel all over the country.",100,"Comedy            ",6.5
"80.","Adrift","A true story of survival, as a young couple's chance encounter leads them first to love, and then on the adventure of a lifetime as they face one of the most catastrophic hurricanes in recorded history.",96,"Action, Adventure, Biography            ",6.6
"81.","Searching","After his 16-year-old daughter goes missing, a desperate father breaks into her laptop to look for clues to find her.",102,"Drama, Mystery, Thriller            ",7.6
"82.","Under the Silver Lake","Sam, a disenchanted young man, finds a mysterious woman swimming in his apartment's pool one night. The next morning, she disappears. Sam sets off across LA to find her, and along the way he uncovers a conspiracy far more bizarre.",139,"Crime, Drama, Mystery            ",6.5
"83.","Charlie Says","The tragic tale of an all-American girl who was transformed into a cold-blooded killer in the summer of 1969.",110,"Biography, Crime, Drama            ",5.7
"84.","Sicario: Day of the Soldado","The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro.",122,"Action, Crime, Drama            ",7.1
"85.","Dragged Across Concrete","Once two overzealous cops get suspended from the force, they must delve into the criminal underworld to get their proper compensation.",159,"Action, Crime, Drama            ",7
"86.","Blockers","Three parents try to stop their daughters from losing their virginity on prom night.",102,"Comedy            ",6.2
"87.","High Life","A father and his daughter struggle to survive in deep space where they live in isolation.",113,"Adventure, Drama, Horror            ",5.9
"88.","The Nun","A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.",96,"Horror, Mystery, Thriller            ",5.3
"89.","Nomis","A weathered Lieutenant, his police force, and a local vigilante are all caught up in a dangerous scheme involving a recently arrested, troubled man who's linked to years of female abductions and murders.",98,"Action, Crime, Drama            ",5.8
"90.","Tomb Raider","Lara Croft ""Alicia Vikander"", the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft ""Dominic West"" disappeared.",119,"Action, Adventure, Fantasy            ",6.3
"91.","Skyscraper","A security expert must infiltrate a burning skyscraper, 225 stories above ground, when his family is trapped inside by criminals.",102,"Action, Adventure, Thriller            ",5.8
"92.","Don't Worry, He Won't Get Far on Foot","On the rocky path to sobriety after a life-changing accident, John Callahan discovers the healing power of art, willing his injured hands into drawing hilarious, often controversial cartoons, which bring him a new lease on life.",114,"Biography, Comedy, Drama            ",6.9
"93.","Andhadhun","A series of mysterious events changes the life of a blind pianist, who must now report a crime that he should technically know nothing of.",139,"Crime, Thriller            ",8.3
"94.","Les frères Sisters","In 1850s Oregon, the infamous duo of assassins, Eli Sisters (John C. Reilly) and Charlie Sisters (Joaquin Phoenix), chase a gold prospector and his unexpected ally.",122,"Crime, Drama, Western            ",7
"95.","Mid90s","Follows Stevie, a thirteen-year-old in 1990s-era Los Angeles who spends his summer navigating between his troubled home life and a group of new friends that he meets at a Motor Avenue skate shop.",85,"Comedy, Drama            ",7.4
"96.","The Equalizer 2","Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?",121,"Action, Crime, Thriller            ",6.7
"97.","Maze Runner: The Death Cure","Young hero Thomas embarks on a mission to find a cure for a deadly disease known as ""The Flare"".",143,"Action, Adventure, Sci-Fi            ",6.2
"98.","I Feel Pretty","A woman struggling with insecurity wakes from a fall believing she is the most beautiful and capable woman on the planet. Her new confidence empowers her to live fearlessly, but what happens when she realizes her appearance never changed?",110,"Comedy, Romance            ",5.5
"99.","The Perfection","When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences.",90,"Drama, Horror, Thriller            ",6.1
"100.","Death Wish","Dr. Paul Kersey is an experienced trauma surgeon, a man who has spent his life saving lives. After an attack on his family, Paul embarks on his own mission for justice.",107,"Action, Crime, Drama            ",6.4
