"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Buhari attends ECOWAS Heads of State Summit via teleconference - https://t.co/2V11jGlPzX
#AsoRockisActive… https://t.co/MibMqeEUqg",FALSE,0,NA,2020-05-10 06:46:15,TRUE,NA,"1259374172230356992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Princess__gift",0,FALSE,FALSE,NA,NA
"Social Mobility and COVID 19     Apprenticeships
At the intersection of education and the labour market, apprentice… https://t.co/eOvUq9VeQ9",FALSE,0,NA,2020-05-10 06:46:15,TRUE,NA,"1259374172112777216",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","hub_resource",0,FALSE,FALSE,NA,NA
"Coronavirus España: última hora de la fase 1 de la desescalada y los contagios y muertes por Covid-19, en directo https://t.co/E2aneP9oUV",FALSE,0,NA,2020-05-10 06:46:15,FALSE,NA,"1259374172070916096",NA,"<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>","okdiario",0,FALSE,FALSE,NA,NA
"RT @moonyixiv: due to the situation caused by covid here, i've been unable to do any of my part time jobs and have to rely 100% on my job a…",FALSE,0,NA,2020-05-10 06:46:15,FALSE,NA,"1259374171982708736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","korejin_",194,TRUE,FALSE,NA,NA
"You probably have already taken measures to keep yourself, your loved ones and your employees safe.

In this articl… https://t.co/vZKVTtGHYM",FALSE,0,NA,2020-05-10 06:46:15,TRUE,NA,"1259374171886419971",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","pastureio",0,FALSE,FALSE,NA,NA
"RT @carolmswain: I believe @Twitter is shadow banning me again. There’s an effort to censor anyone who questions the #Gates/#Fauci view of…",FALSE,0,NA,2020-05-10 06:46:15,FALSE,NA,"1259374171693428737",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","CenseteLibere",301,TRUE,FALSE,NA,NA
"RT @RachelRGonzalez: Eraina Petty has been in jail since 18. 

She was caught holding a murder weapon her boyfriend asked her to hold—she n…",FALSE,0,NA,2020-05-10 06:46:15,FALSE,NA,"1259374171676717056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bumchucket",621,TRUE,FALSE,NA,NA
"RT @SundayTimesZA: President Cyril Ramaphosa was swayed at a heated meeting of the national command council (NCC) on Covid-19 to support th…",FALSE,0,NA,2020-05-10 06:46:15,FALSE,NA,"1259374171471167488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PennyMarais",37,TRUE,FALSE,NA,NA
"RT @PublicaFM: #QuédateEnCasa | A causa de la pandemia por el #Covid_19 millones de personas alrededor del mundo se ajustan al teletrabajo.…",FALSE,0,NA,2020-05-10 06:46:15,FALSE,NA,"1259374171399872512",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RafaelRiera6",6,TRUE,FALSE,NA,NA
"RT @NewsbytesHindi: <U+0915><U+094B><U+0930><U+094B><U+0928><U+093E> <U+0935><U+093E><U+092F><U+0930><U+0938>: <U+0938><U+094D><U+0935><U+0926><U+0947><U+0936><U+0940> <U+0935><U+0948><U+0915><U+094D><U+0938><U+0940><U+0928> <U+092C><U+0928><U+093E><U+0928><U+0947> <U+0915><U+0940> <U+0924><U+0948><U+092F><U+093E><U+0930><U+0940>, ICMR <U+0914><U+0930> <U+092D><U+093E><U+0930><U+0924> <U+092C><U+093E><U+092F><U+094B><U+091F><U+0947><U+0915> <U+0928><U+0947> <U+092E><U+093F><U+0932><U+093E><U+092F><U+093E> <U+0939><U+093E><U+0925> #coronavirus #vaccine
https://t.co/fl…",FALSE,0,NA,2020-05-10 06:46:15,FALSE,NA,"1259374171324375041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Messikafan",1,TRUE,FALSE,NA,NA
