timestamp,tweet_text,all_hashtags,followers_count,sentaiment_score
5/6/20 23:33,b'Thank you to all the nurses and healthcare workers! Happy Nurses Day! #ThankYouNurses #NursesDay2020 #NursesDay #DataAnalytics #GratefulForTheHeroes\xe7\xb5\xb5 #CoronavirusUSA #CoronavirusOutbreak #HealthcareHeroes #healthcare #uglyducklingdata https://t.co/GyPPiO6BS2',"['ThankYouNurses', 'NursesDay2020', 'NursesDay', 'DataAnalytics', 'GratefulForTheHeroes絵', 'CoronavirusUSA', 'CoronavirusOutbreak', 'HealthcareHeroes', 'healthcare', 'uglyducklingdata']",35,1
5/6/20 23:33,"b""You are right! She's ignorant and it's shameful that some Americans are trying to convince others to become a #GrandmaKiller instead of saving lives like other countries are doing. #CoronavirusUSA https://t.co/cEO66qTIro""","['GrandmaKiller', 'CoronavirusUSA']",338,0.116071429
5/6/20 23:32,"b'#CBS News Panics, Takes Down Their Broadcast with Staged #CoronavirusUSA Testing Line and Fake Patients After Project #Veritas Expos\xc3\xa9  #COVID19 LYING NEWS  https://t.co/05WXL2M2U6 via @gatewaypundit'","['CBS', 'CoronavirusUSA', 'Veritas', 'COVID19']",3286,-0.327777778
5/6/20 23:32,"b'100 infected, 10 dead as coronavirus sweeps through Atlanta nursing home #COVID19 #CoronavirusUSA #geriatrics  https://t.co/GojNlWkTVn'","['COVID19', 'CoronavirusUSA', 'geriatrics']",151,-0.2
5/6/20 23:31,b'A goat and a pawpaw fruit tested positive for #COVID19  after Tanzanian President John Magufuli decided to send in random samples for quality control Imagine That! @realDonaldTrump @POTUS #CoronaCrisis #TakeoutDay #BillGates #CoronavirusUSA  https://t.co/l8YscTVTHm',"['COVID19', 'CoronaCrisis', 'TakeoutDay', 'BillGates', 'CoronavirusUSA']",1902,-0.198863636
5/6/20 23:31,b'I am glad Charlie Baker is the @MassGovernor  #covid19ma #CoronavirusUSA',"['covid19ma', 'CoronavirusUSA']",15,0.5
5/6/20 23:31,"b'The UK, Italy, Spain, France, Belgium Netherlands, Sweden,all have universal health care &amp; more deaths per million than the United States. Most of them more than double the Deaths/1 Million population than the U.S. #COVID19 #CoronavirusUSA #coronavirus  #QuarantineLife #Trump2020 https://t.co/ZEDH2G6CSP'","['COVID19', 'CoronavirusUSA', 'coronavirus', 'QuarantineLife', 'Trump2020']",1488,0.3
5/6/20 23:30,"b'Statewide study in Oregon to track temperatures and other #COVID19 symptoms of 100,000 participants in real time https://t.co/R8mZ8nRkb0 #coronavirus #covidusa #COVID19US #COVID2019 #COVID\xe3\x83\xbc19 #CoronavirusUSA #Covid_19'","['COVID19', 'coronavirus', 'covidusa', 'COVID19US', 'COVID2019', 'COVIDー19', 'CoronavirusUSA', 'Covid_19']",2197,0.0375
5/6/20 23:30,b'Amazon worker dies of #coronavirus in Illinois  It marks the fourth COVID-19-linked death of an Amazon worker  #CoronavirusUSA #Amazon #Illinois #COVID19  https://t.co/h5CJhST64K',"['coronavirus', 'CoronavirusUSA', 'Amazon', 'Illinois', 'COVID19']",234262,0
5/6/20 23:30,b'What aren\xe2\x80\x99t they telling us??!!! #COVID19 #CoronavirusUSA https://t.co/hIq9kLbPA9',"['COVID19', 'CoronavirusUSA']",8204,0
5/6/20 23:28,"b'Yes, #GrandmaKiller tell us which name works for you? #CoronavirusUSA #DeathCult https://t.co/NxneaTVsxt'","['GrandmaKiller', 'CoronavirusUSA', 'DeathCult']",338,0
5/6/20 23:27,b'Exactly! The country has lost its way! #CoronavirusUSA #CoronavirusOutbreak https://t.co/puLJOa6Stk',"['CoronavirusUSA', 'CoronavirusOutbreak']",338,0.390625
5/6/20 23:27,"b'""Tyranny"" does not equal ""I don\'t want people to die because I need a manicure."" #COVID19 #CoronavirusUSA #Covid_19'","['COVID19', 'CoronavirusUSA', 'Covid_19']",198,0
5/6/20 23:24,b'Reopening: What you need to know.  https://t.co/RCAOB5jg2B  #gatlinburg #COVID19 #CoronavirusUSA',"['gatlinburg', 'COVID19', 'CoronavirusUSA']",7478,0
5/6/20 23:24,"b'Deaths per million from the Wuhan virus in U.S. States, Districts, and Territories as of 19:00 (EDT) on May 6. #COVID19  #SARSCoV2 #Coronavirus  #CoronavirusUSA  #CoronavirusOutbreak  #WuhanVirus  #CCPVirus https://t.co/zSO7L5VPKa'","['COVID19', 'SARSCoV2', 'Coronavirus', 'CoronavirusUSA', 'CoronavirusOutbreak', 'WuhanVirus', 'CCPVirus']",28,0
5/6/20 23:23,b'The #GrandmaKiller people are alive and well unfortunately in #America. #CoronavirusUSA https://t.co/oyjyT2atY0',"['GrandmaKiller', 'America', 'CoronavirusUSA']",338,-0.2
5/6/20 23:22,"b'LIVE 8pm ET @cspan @cspanradio @cspanwj with @SylviaBurwell - American University President #CoronavirusUSA Also DC Delegate @EleanorNorton and  Dr. George Diaz, chief of the infectious disease division at the Providence Regional Medical Center in Everett, Washington.  Tune in!'",['CoronavirusUSA'],15434,0.002840909
5/6/20 23:22,"b""Watch this before You Tube decides to take it down. It's already been taken down several times already. People Need to know..... #COVID19 #CoronavirusUSA #CoronaCoverUp #COVID19coverup   https://t.co/gzGP3h9SEN""","['COVID19', 'CoronavirusUSA', 'CoronaCoverUp', 'COVID19coverup']",395,-0.103703704
5/6/20 23:20,b'Trump is gonna save us from this Coronavirus. Trump is gonna save us from illegals crossing the border and TRUMP WILL RULE THE WORLD! #Trump2020 #XAEA12 #COVID19 #CoronavirusUSA',"['Trump2020', 'XAEA12', 'COVID19', 'CoronavirusUSA']",2,0
5/6/20 23:20,b'Keep taking those pills before blood pressure goes out of control. My take on @Healthline via @citizenkrans #CoronavirusUSA #coronavirus https://t.co/tskfPKaZuD',"['CoronavirusUSA', 'coronavirus']",163,0
5/6/20 23:19,"b'So my friend &amp; I went to go walk the dog, and you would not believe the amount of people walking in huge groups and NOT ONE MASK!! Someone was even hosting a workout class!! #SocialDistancing #CoronavirusUSA https://t.co/NALLdUuaDN'","['SocialDistancing', 'CoronavirusUSA']",669,0.9765625
5/6/20 23:19,"b'@thehill Does @realDonaldTrump realize that cutting it off at the source would have been done had he not waited 70 days to make a response to #CoronavirusUSA ?   The ineptitude of Trump and his WH advisors are the main reason we are at 74,000+ souls lost from #Covid_19.'","['CoronavirusUSA', 'Covid_19']",304,-0.216666667
